"ensembl_gene_id"	"hgnc_symbol"	"padj"	"SC01_day3/SC01_day0"	"SC01_day8/SC01_day3"	"SC01_day8/SC01_day0"	"SC07_day3/SC07_day0"	"SC07_day8/SC07_day3"	"SC07_day8/SC07_day0"	"SC10_day3/SC10_day0"	"SC10_day8/SC10_day3"	"SC10_day8/SC10_day0"	"SC07_day0/SC01_day0"	"SC10_day0/SC01_day0"	"SC10_day0/SC07_day0"	"SC07_day3/SC01_day3"	"SC10_day3/SC01_day3"	"SC10_day3/SC07_day3"	"SC07_day8/SC01_day8"	"SC10_day8/SC01_day8"	"SC10_day8/SC07_day8"
"ENSG00000004799"	"PDK4"	0	1.01734427899387	1.14920863395967	1.16914082912923	-1.16127621983775	-1.04900200627458	-1.21818108444875	-1.14943169263296	-1.05144416351106	-1.20856324457357	1.25667366240582	1.15049610276282	-1.09228850005492	1.06369969117484	-1.01640305759076	-1.08114761846846	-1.13332942808348	-1.22814899626579	-1.08366461315899
"ENSG00000100099"	"HPS4"	0	-1.06481128706336	-1.01577918625525	-1.08161314268863	-1.14248063463976	-1.15011419410473	-1.31398319438897	-1.03658320126655	-1.0285985997359	-1.06622802933253	1.22737303983306	1.03804950180176	-1.18238392071158	1.14393244544018	1.06631751768547	-1.07278782020123	1.01031947481069	1.05302801372895	1.04227231087103
"ENSG00000107165"	"TYRP1"	0	1.64336491375112	1.30736188038158	2.14847264379478	1.11028193213714	1.05942634885327	1.1762619335618	1.02142261330367	1.09673955815297	1.12023458560212	1.44716282080111	1.17827527258543	-1.22820435467993	-1.02278262455205	-1.36546879077729	-1.3350527844324	-1.26214249504302	-1.62769896703587	-1.28963169644359
"ENSG00000118515"	"SGK1"	0	-1.00556188490024	1.09301878122143	1.08697316160693	-1.28692820742032	-1.18338302176668	-1.52292899089384	-1.08711952422953	1.006126924655	-1.08049938590233	-1.0827438051081	-1.37366466210543	-1.2686885444413	-1.38570640467489	-1.48507784189446	-1.07171175429681	-1.7923556235125	-1.61333320179563	1.11096432002864
"ENSG00000118785"	"SPP1"	0	1.08373991738128	1.34946805234338	1.46247239555529	1.68183879266086	1.13161354798932	1.90319156330903	1.12317451990188	1.04529722991716	1.17405121436697	2.89415554339654	6.16500920591945	2.13015821488443	4.49139409448022	6.38933857099324	1.42257357884616	3.76631547360245	4.94917823187016	1.3140636429843
"ENSG00000134160"	"TRPM1"	0	1.70487906125712	1.73373981137037	2.95581670207321	-1.02069796778913	-1.1182509217655	-1.14139644332436	1.0171905680799	1.11395933886038	1.1331089327133	2.94647755822045	2.15980082336864	-1.36423577875335	1.6932157931411	1.2886128267901	-1.31398334545439	-1.14501420906892	-1.20779195687304	-1.05482704695444
"ENSG00000182352"	"C17orf77"	0	1.42038736025918	1.33190020238141	1.8918142125892	1.94685922516688	1.00983306161001	1.96600281187396	1.31945763867541	1.14713124668244	1.51359108599839	5.41815807083398	10.4575689475065	1.93009668798696	7.42641853817307	9.71447621671621	1.30809705469496	5.63063430412563	8.36682747958423	1.48594759092306
"ENSG00000243701"	"DUBR"	0	-1.16080320453131	1.11324030437446	-1.04272473783958	-1.05014660616276	-1.08088751317452	-1.13509035360393	-1.01945548182203	-1.02859536110196	-1.0486071794521	1.77923718628514	2.32897050992279	1.30897135462048	1.96671989924135	2.65188277407219	1.3483784727531	1.634455462275	2.31590552876459	1.41692788957435
"ENSG00000023171"	"GRAMD1B"	1.7987121884816e-317	-2.02358895609654	-1.25041558468681	-2.53032716770323	1.07836488078804	-1.05198259256867	1.02507863571673	-1.07885496991616	-1.08343845111396	-1.16887295758256	-1.03979816439237	1.64234832587208	1.70771077453468	2.09864504298317	3.08052335760818	1.46786297564132	2.49450750136873	3.55528679214268	1.42524598149811
"ENSG00000168481"	"LGI3"	1.14047971812606e-314	2.45973341693448	1.27868902242245	3.14523411831978	-1.01152686937181	-1.15713348780283	-1.17047161436247	1.09310155703766	1.09458877147959	1.19649669042028	3.14729807147654	2.12317122251764	-1.48235716370746	1.26494723713646	-1.05984537575402	-1.3406484798519	-1.16970403578285	-1.23810209162842	-1.05847466859409
"ENSG00000164175"	"SLC45A2"	2.07531496992143e-308	1.43069731309718	1.34563787546835	1.92520049283436	1.11977365253401	-1.00701150151445	1.11197702394658	1.09063035156117	1.08091461457778	1.17887828610457	2.57733049980768	3.0669523063279	1.18997245660064	2.01721689216658	2.33795872925117	1.15900215704624	1.48864095431617	1.87801919431534	1.26156625536212
"ENSG00000115414"	"FN1"	4.60413850865127e-307	-1.52877967084329	-1.37122607368912	-2.09630254558619	-1.85862423974867	-1.45692368658086	-2.70787367934319	-1.2357444764004	-1.1053082199078	-1.36587852747102	-6.92384672283049	-25.4852029423337	-3.68078670174768	-8.41771355074247	-20.6002207947729	-2.44724659144001	-8.94379598977043	-16.605280349665	-1.85662557248147
"ENSG00000137265"	"IRF4"	6.79498974784484e-305	-1.00380964427389	1.15477999702563	1.15039739218779	1.03916034416803	-1.07107516935046	-1.03071212769188	1.03315067887695	1.02277559188431	1.05668129709406	-1.00337261052128	-1.23329839632584	-1.22915294218079	1.03961296579634	-1.18919517228259	-1.23630271996739	-1.18972754435524	-1.34267849996435	-1.12855964908503
"ENSG00000186472"	"PCLO"	8.61533938119774e-305	1.00594727251315	1.1298865917529	1.13660633522301	1.01608277103447	-1.00647973988294	1.0095412066145	1.07218065506981	1.04973538666987	1.12550597452965	1.41074566514463	1.89455081264734	1.34294285600595	1.42495974076642	2.01929145480207	1.41708667061428	1.25303355865674	1.87604819065716	1.49720506501701
"ENSG00000104763"	"ASAH1"	5.19172872117798e-300	1.42146161577016	1.39465552188564	1.98244929158235	1.15178211437641	1.00063102151279	1.15250891366862	1.10127755615058	1.0891685914587	1.19947692463761	2.62700788206552	3.28471598595072	1.25036396288544	2.12861230955542	2.5448341014095	1.1955366836815	1.52722695769012	1.98741074783879	1.30131984498538
"ENSG00000154556"	"SORBS2"	1.05203175870675e-298	-1.08854713468252	-1.0781647078253	-1.17363310341905	-1.07639201384856	1.01907061275956	-1.05624870383985	-1.27055552770994	-1.0752345088257	-1.36614514877298	-1.42324148210736	-1.47301029415389	-1.03496863509967	-1.40734904011773	-1.71930209724608	-1.22166004895435	-1.28089175939871	-1.71462943707755	-1.33862164737671
"ENSG00000135424"	"ITGA7"	4.17857687386902e-293	-1.12173182026524	-1.0342636532887	-1.1601664504377	1.46087773044226	1.09018310614057	1.59262422186513	1.23510953621078	1.16095644730178	1.43390837918781	2.12875041838685	4.62176473791204	2.17111630278122	3.48841106047721	6.4032778841884	1.83558582207695	3.93331171204115	7.68864023202672	1.95474978718043
"ENSG00000069974"	"RAB27A"	1.09919762640513e-285	1.4671215613678	1.27809669728589	1.87512322210111	1.05240155266033	-1.10478354597845	-1.04977377046404	1.07531994227162	1.0457938369597	1.12456296838752	2.32366943586509	2.29903026481839	-1.01071720169314	1.66682392691026	1.68506356715281	1.01094275162966	1.1804533145767	1.37879168075148	1.16801881423486
"ENSG00000162777"	"DENND2D"	1.08354864767867e-283	1.86055335364558	2.28164034164249	4.24511358945598	-1.17044205665912	-1.26232764555938	-1.47748136564619	1.03935511863609	1.09981621729602	1.1430996150056	3.99002770537235	2.64071420284454	-1.51096536727615	1.83224634587478	1.47517394123831	-1.24205444161841	-1.57193801311896	-1.40631897212726	1.11776776412337
"ENSG00000105976"	"MET"	4.66129797579227e-277	1.36714872787443	1.66921586727053	2.28206634948672	1.30661075649298	1.16622694762309	1.52380467427631	1.14545448409511	1.13429713017584	1.29928573405613	3.44350590679421	6.07427903589226	1.7639810124639	3.29102588923134	5.08928547234606	1.54641307714985	2.29933296981103	3.45836750004494	1.50407424477072
"ENSG00000198682"	"PAPSS2"	5.14158743937526e-265	1.01593187899018	-1.10853601303339	-1.09115191279878	1.00654011078506	1.06398927038481	1.07094787808724	1.06525032227037	1.01624483736174	1.08255514050519	-1.24859368744979	1.03914288914978	1.29746725175075	-1.26024399563846	1.08958811160848	1.37314687537363	-1.06848291429149	1.22746894990323	1.31152960079492
"ENSG00000132688"	"NES"	2.65603988673353e-262	-1.55620392777646	-1.44500009798253	-2.24871482811779	-1.18617826375317	-1.09377705704875	-1.29741457046314	-1.16820518523441	-1.16590583879216	-1.36201724637207	-2.45757672817375	-2.89577791988318	-1.17830620980654	-1.87322756640932	-2.17379144269887	-1.16045240934911	-1.41791916667022	-1.75393492284018	-1.23697807609093
"ENSG00000079308"	"TNS1"	6.2796086741648e-255	1.0800625064624	1.11335708139679	1.20249523992108	1.05161692779205	-1.08689395886784	-1.03354551466745	1.11452263379513	1.0896482062896	1.21443758878402	1.46885922278871	1.22385969983909	-1.20018595512364	1.43017391492226	1.26290777422507	-1.13244525381106	1.18186317793268	1.23601422570294	1.04581837287204
